,hotel_id,hotel_name,SOURCE,price,base_price,checkIn,checkOut,count,rating,Info,latitude,longitude
1,9702375,Rosh Rayhaan by Rotana,Official Site,813.75,693.75,2025-01-02,2025-01-03,1311,4.5,"['Free breakfast available', 'Free cancellation']",24.700346,46.682137
3,24143026,Joudyan Hotel,MakeMyTrip,588.75,472.5,2025-01-02,2025-01-03,317,5.0,"['Free breakfast available', 'Free cancellation']",24.713552,46.675297
8,15239002,Shaza Riyadh,Booking.com,652.5,652.5,2025-01-02,2025-01-03,176,4.5,"['Free breakfast available', 'Free cancellation • Reserve now, pay at stay']",24.675924,46.7792
15,3349253,Carawan Al Fahad Hotel,Booking.com,532.5,495.0,2025-01-02,2025-01-03,54,4.0,"['Free breakfast available', 'Free cancellation']",24.711273,46.671043
17,810042,Continent Al Waha Hotel,MakeMyTrip,795.0,701.25,2025-01-02,2025-01-03,407,4.5,"['Free breakfast available', 'Free cancellation']",24.680944,46.689484
19,3250538,Al Mashreq Boutique Hotel,Booking.com,750.0,750.0,2025-01-02,2025-01-03,170,4.5,"['Free breakfast available', 'Free cancellation']",24.70452,46.655216
20,10131963,Spectrums Hotel Riyadh,Booking.com,562.5,562.5,2025-01-02,2025-01-03,189,4.5,"['Free breakfast available', 'Free cancellation']",24.700665,46.678635
22,1748545,Executives Hotel - Olaya,Booking.com,615.0,540.0,2025-01-02,2025-01-03,165,4.0,"['Free breakfast available', 'Free cancellation']",24.70869,46.678
31,3879255,OYO 146 Al Asemah Hotel,Expedia,266.25,266.25,2025-01-02,2025-01-03,3,3.5,"['Free breakfast available', 'Free cancellation']",24.641687,46.72113
38,24143026,Joudyan Hotel,Booking.com,735.0,637.5,2025-01-29,2025-02-03,317,5.0,"['Free breakfast available', 'Free cancellation']",24.713552,46.675297
43,15239002,Shaza Riyadh,Booking.com,652.5,652.5,2025-01-29,2025-02-03,176,4.5,"['Free breakfast available', 'Free cancellation • Reserve now, pay at stay']",24.675924,46.7792
49,15215188,Fairmont Riyadh,Fairmont,1890.0,1702.5,2025-01-29,2025-02-03,220,4.5,"['Free breakfast available', 'Free cancellation • Reserve now, pay at stay']",24.808397,46.71805
50,3349253,Carawan Al Fahad Hotel,MakeMyTrip,517.5,450.0,2025-01-29,2025-02-03,54,4.0,"['Free breakfast available', 'Free cancellation']",24.711273,46.671043
52,810042,Continent Al Waha Hotel,Booking.com,776.25,750.0,2025-01-29,2025-02-03,407,4.5,"['Free breakfast available', 'Free cancellation']",24.680944,46.689484
53,3250538,Al Mashreq Boutique Hotel,Booking.com,783.75,783.75,2025-01-29,2025-02-03,170,4.5,"['Free breakfast available', 'Free cancellation']",24.70452,46.655216
55,10131963,Spectrums Hotel Riyadh,Booking.com,596.25,596.25,2025-01-29,2025-02-03,189,4.5,"['Free breakfast available', 'Free cancellation']",24.700665,46.678635
56,1748545,Executives Hotel - Olaya,Booking.com,558.75,513.75,2025-01-29,2025-02-03,165,4.0,"['Free breakfast available', 'Free cancellation']",24.70869,46.678
65,3879255,OYO 146 Al Asemah Hotel,Expedia,266.25,266.25,2025-01-29,2025-02-03,3,3.5,"['Free breakfast available', 'Free cancellation • Reserve now, pay at stay']",24.641687,46.72113
75,24143026,Joudyan Hotel,Booking.com,633.75,543.75,2024-12-23,2024-12-25,317,5.0,"['Free breakfast available', 'Free cancellation']",24.713552,46.675297
77,7789088,"Crowne Plaza Riyadh Rdc Hotel & Convention, An Ihg Hotel",Booking.com,1065.0,956.25,2024-12-23,2024-12-25,331,4.5,"['Free breakfast available', 'Free cancellation • Reserve now, pay at stay']",24.738811,46.635284
80,15239002,Shaza Riyadh,Booking.com,600.0,600.0,2024-12-23,2024-12-25,176,4.5,"['Free breakfast available', 'Reserve now, pay at stay']",24.675924,46.7792
81,1486058,"Crowne Plaza Riyadh Palace, an IHG hotel",Booking.com,825.0,405.0,2024-12-23,2024-12-25,239,4.0,"['Free breakfast available', 'Free cancellation • Reserve now, pay at stay']",24.664728,46.71136
86,3349253,Carawan Al Fahad Hotel,Booking.com,423.75,393.75,2024-12-23,2024-12-25,54,4.0,"['Free breakfast available', 'Free cancellation']",24.711273,46.671043
88,810042,Continent Al Waha Hotel,Booking.com,502.5,442.5,2024-12-23,2024-12-25,407,4.5,"['Free breakfast available', 'Free cancellation']",24.680944,46.689484
89,3250538,Al Mashreq Boutique Hotel,Booking.com,603.75,603.75,2024-12-23,2024-12-25,170,4.5,"['Free breakfast available', 'Free cancellation']",24.70452,46.655216
90,10131963,Spectrums Hotel Riyadh,Booking.com,551.25,551.25,2024-12-23,2024-12-25,189,4.5,"['Free breakfast available', 'Free cancellation']",24.700665,46.678635
91,1748545,Executives Hotel - Olaya,Booking.com,450.0,412.5,2024-12-23,2024-12-25,165,4.0,"['Free breakfast available', 'Free cancellation']",24.70869,46.678
100,3879255,OYO 146 Al Asemah Hotel,Agoda.com,195.0,172.5,2024-12-23,2024-12-25,3,3.5,"['Free breakfast available', 'Free cancellation • Reserve now, pay at stay']",24.641687,46.72113
111,24143026,Joudyan Hotel,Booking.com,780.0,671.25,2025-01-25,2025-01-28,317,5.0,"['Free breakfast available', 'Free cancellation']",24.713552,46.675297
116,15239002,Shaza Riyadh,Booking.com,761.25,761.25,2025-01-25,2025-01-28,176,4.5,"['Free breakfast available', 'Free cancellation • Reserve now, pay at stay']",24.675924,46.7792
122,15215188,Fairmont Riyadh,Fairmont,2118.75,1582.5,2025-01-25,2025-01-28,220,4.5,"['Free breakfast available', 'Free cancellation • Reserve now, pay at stay']",24.808397,46.71805
123,3349253,Carawan Al Fahad Hotel,Booking.com,532.5,446.25,2025-01-25,2025-01-28,54,4.0,"['Free breakfast available', 'Free cancellation']",24.711273,46.671043
125,810042,Continent Al Waha Hotel,Booking.com,776.25,708.75,2025-01-25,2025-01-28,407,4.5,"['Free breakfast available', 'Free cancellation']",24.680944,46.689484
126,3250538,Al Mashreq Boutique Hotel,Booking.com,783.75,783.75,2025-01-25,2025-01-28,170,4.5,"['Free breakfast available', 'Free cancellation']",24.70452,46.655216
128,10131963,Spectrums Hotel Riyadh,Booking.com,603.75,603.75,2025-01-25,2025-01-28,189,4.5,"['Free breakfast available', 'Free cancellation']",24.700665,46.678635
129,1748545,Executives Hotel - Olaya,Booking.com,566.25,521.25,2025-01-25,2025-01-28,165,4.0,"['Free breakfast available', 'Free cancellation']",24.70869,46.678
138,3879255,OYO 146 Al Asemah Hotel,Expedia,266.25,266.25,2025-01-25,2025-01-28,3,3.5,"['Free breakfast available', 'Free cancellation • Reserve now, pay at stay']",24.641687,46.72113
147,24143026,Joudyan Hotel,Booking.com,705.0,607.5,2025-01-05,2025-01-07,317,5.0,"['Free breakfast available', 'Free cancellation']",24.713552,46.675297
150,15239002,Shaza Riyadh,Booking.com,652.5,652.5,2025-01-05,2025-01-07,176,4.5,"['Free breakfast available', 'Free cancellation • Reserve now, pay at stay']",24.675924,46.7792
156,3349253,Carawan Al Fahad Hotel,Booking.com,532.5,457.5,2025-01-05,2025-01-07,54,4.0,"['Free breakfast available', 'Free cancellation']",24.711273,46.671043
159,810042,Continent Al Waha Hotel,Booking.com,750.0,708.75,2025-01-05,2025-01-07,407,4.5,"['Free breakfast available', 'Free cancellation']",24.680944,46.689484
160,3250538,Al Mashreq Boutique Hotel,Booking.com,783.75,783.75,2025-01-05,2025-01-07,170,4.5,"['Free breakfast available', 'Free cancellation']",24.70452,46.655216
162,1748545,Executives Hotel - Olaya,Booking.com,566.25,551.25,2025-01-05,2025-01-07,165,4.0,"['Free breakfast available', 'Free cancellation']",24.70869,46.678
177,15215188,Fairmont Riyadh,Fairmont,2280.0,1702.5,2025-01-05,2025-01-07,220,4.5,"['Free breakfast available', 'Free cancellation • Reserve now, pay at stay']",24.808397,46.71805
185,24143026,Joudyan Hotel,Booking.com,735.0,641.25,2025-01-17,2025-01-21,317,5.0,"['Free breakfast available', 'Free cancellation']",24.713552,46.675297
189,15239002,Shaza Riyadh,Booking.com,813.75,813.75,2025-01-17,2025-01-21,176,4.5,"['Free breakfast available', 'Free cancellation • Reserve now, pay at stay']",24.675924,46.7792
194,3349253,Carawan Al Fahad Hotel,Booking.com,532.5,465.0,2025-01-17,2025-01-21,54,4.0,"['Free breakfast available', 'Free cancellation']",24.711273,46.671043
196,810042,Continent Al Waha Hotel,Booking.com,731.25,693.75,2025-01-17,2025-01-21,407,4.5,"['Free breakfast available', 'Free cancellation']",24.680944,46.689484
197,3250538,Al Mashreq Boutique Hotel,Booking.com,783.75,783.75,2025-01-17,2025-01-21,170,4.5,"['Free breakfast available', 'Free cancellation']",24.70452,46.655216
198,10131963,Spectrums Hotel Riyadh,Booking.com,618.75,618.75,2025-01-17,2025-01-21,189,4.5,"['Free breakfast available', 'Free cancellation']",24.700665,46.678635
200,1748545,Executives Hotel - Olaya,Booking.com,566.25,551.25,2025-01-17,2025-01-21,165,4.0,"['Free breakfast available', 'Free cancellation']",24.70869,46.678
208,3879255,OYO 146 Al Asemah Hotel,Expedia,266.25,266.25,2025-01-17,2025-01-21,3,3.5,"['Free breakfast available', 'Free cancellation • Reserve now, pay at stay']",24.641687,46.72113
219,9702375,Rosh Rayhaan by Rotana,Official Site,915.0,697.5,2025-01-10,2025-01-13,1311,4.5,"['Free breakfast available', 'Free cancellation']",24.700346,46.682137
221,24143026,Joudyan Hotel,Booking.com,690.0,603.75,2025-01-10,2025-01-13,317,5.0,"['Free breakfast available', 'Free cancellation']",24.713552,46.675297
226,15239002,Shaza Riyadh,Booking.com,723.75,671.25,2025-01-10,2025-01-13,176,4.5,"['Free breakfast available', 'Free cancellation • Reserve now, pay at stay']",24.675924,46.7792
232,15215188,Fairmont Riyadh,Fairmont,1845.0,1661.25,2025-01-10,2025-01-13,220,4.5,"['Free breakfast available', 'Free cancellation • Reserve now, pay at stay']",24.808397,46.71805
233,3349253,Carawan Al Fahad Hotel,Booking.com,532.5,446.25,2025-01-10,2025-01-13,54,4.0,"['Free breakfast available', 'Free cancellation']",24.711273,46.671043
235,810042,Continent Al Waha Hotel,Booking.com,720.0,671.25,2025-01-10,2025-01-13,407,4.5,"['Free breakfast available', 'Free cancellation']",24.680944,46.689484
237,3250538,Al Mashreq Boutique Hotel,Booking.com,926.25,783.75,2025-01-10,2025-01-13,170,4.5,"['Free breakfast available', 'Free cancellation']",24.70452,46.655216
238,10131963,Spectrums Hotel Riyadh,Booking.com,600.0,600.0,2025-01-10,2025-01-13,189,4.5,"['Free breakfast available', 'Free cancellation']",24.700665,46.678635
240,1748545,Executives Hotel - Olaya,Booking.com,566.25,521.25,2025-01-10,2025-01-13,165,4.0,"['Free breakfast available', 'Free cancellation']",24.70869,46.678
250,3879255,OYO 146 Al Asemah Hotel,Expedia,266.25,266.25,2025-01-10,2025-01-13,3,3.5,"['Free breakfast available', 'Free cancellation • Reserve now, pay at stay']",24.641687,46.72113
257,24143026,Joudyan Hotel,Booking.com,735.0,633.75,2025-01-25,2025-01-27,317,5.0,"['Free breakfast available', 'Free cancellation']",24.713552,46.675297
262,15239002,Shaza Riyadh,Booking.com,735.0,735.0,2025-01-25,2025-01-27,176,4.5,"['Free breakfast available', 'Free cancellation • Reserve now, pay at stay']",24.675924,46.7792
268,15215188,Fairmont Riyadh,Fairmont,2171.25,1620.0,2025-01-25,2025-01-27,220,4.5,"['Free breakfast available', 'Free cancellation • Reserve now, pay at stay']",24.808397,46.71805
269,3349253,Carawan Al Fahad Hotel,Booking.com,532.5,457.5,2025-01-25,2025-01-27,54,4.0,"['Free breakfast available', 'Free cancellation']",24.711273,46.671043
271,810042,Continent Al Waha Hotel,Booking.com,750.0,693.75,2025-01-25,2025-01-27,407,4.5,"['Free breakfast available', 'Free cancellation']",24.680944,46.689484
272,3250538,Al Mashreq Boutique Hotel,Booking.com,783.75,783.75,2025-01-25,2025-01-27,170,4.5,"['Free breakfast available', 'Free cancellation']",24.70452,46.655216
274,10131963,Spectrums Hotel Riyadh,Booking.com,588.75,588.75,2025-01-25,2025-01-27,189,4.5,"['Free breakfast available', 'Free cancellation']",24.700665,46.678635
275,1748545,Executives Hotel - Olaya,Booking.com,566.25,551.25,2025-01-25,2025-01-27,165,4.0,"['Free breakfast available', 'Free cancellation']",24.70869,46.678
284,3879255,OYO 146 Al Asemah Hotel,Expedia,266.25,266.25,2025-01-25,2025-01-27,3,3.5,"['Free breakfast available', 'Free cancellation • Reserve now, pay at stay']",24.641687,46.72113
